Vernier Format 2
Sin título.cmbl 8/09/2026 13:54:51 .
Último
Tiempo	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
t	Angulo	v 1	a 1	x	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

7.7	-34.5575191895	-5.43960950205	-9.50234814975	0.3472875	-0.3198475	-0.589451851852
7.75	-34.8542251623	-5.98260082489	-7.66005616153	0.329966	-0.345381944444	-0.0803509259259
7.8	-35.1683844277	-6.27348903356	-4.00779309717	0.311787	-0.341380277778	0.712783641975
7.85	-35.482543693	-6.45771823238	1.45444104333	0.2934365	-0.282308055556	1.62321574074
7.9	-35.8316095434	-6.22500766545	8.4896262381	0.280574	-0.162353333333	2.16259382716
7.95	-36.1283155163	-5.51717969103	13.2892816811	0.2769725	-0.0344905555556	2.05111882716
8	-36.3901149041	-4.65421133865	12.9660725603	0.2790305	0.0580241666667	1.58092299383
8.05	-36.5821011218	-4.02395355321	8.30647440301	0.2841755	0.118716111111	1.15280817901
8.1	-36.7740873395	-3.79124298628	2.63415433403	0.2913785	0.164163611111	0.898787037037
8.15	-36.9486202647	-3.85911690163	-1.19048692806	0.3006395	0.2049425	0.741843364198
8.2	-37.158059775	-4.01425727959	-2.71495661421	0.31213	0.239147222222	0.591092746914
8.25	-37.3500459927	-4.17909393116	-3.0273920976	0.3249925	0.263919444444	0.443147530864
8.3	-37.5769387954	-4.3245380355	-3.30211985022	0.3387125	0.282879722222	0.291497067901
8.35	-37.7863783057	-4.43119704534	-5.27369548674	0.3534615	0.295742222222	0.0635185185185
8.4	-38.0132711084	-4.73178152763	-9.12527084222	0.368725	0.2958375	-0.324791358025
8.45	-38.2401639112	-5.38143186032	-11.4739237863	0.383817	0.273161388889	-0.910326234568
8.5	-38.536869884	-6.23470393907	-6.86819381572	0.39788	0.209134722222	-1.5437117284
8.55	-38.903389027	-6.32197040167	2.55335205384	0.406798	0.1037575	-1.85442314815
8.6	-39.2000949998	-5.77897907883	8.40882395791	0.4079985	0.000571666666667	-1.69033364198
8.65	-39.4793476801	-5.18750638787	8.39805032055	0.4052545	-0.0725063888889	-1.33288317901
8.7	-39.7062404829	-4.81904799023	5.26830866806	0.4001095	-0.128053333333	-1.03079969136
